seed,cycle,investment_rotation_years,nursery_count,police_count,member_count,investor_count,investor_percent_earning_share,exotic_price_per_bdft,native_price_per_bdft,length(trees where ((each.type = NATIVE) and (each.state = SEEDLING))),length(trees where ((each.type = NATIVE) and (each.state = SAPLING))),length(trees where ((each.type = NATIVE) and (each.state = POLE))),length(trees where ((each.type = NATIVE) and (each.state = ADULT))),length(trees where ((each.type = EXOTIC) and (each.state = SEEDLING))),length(trees where ((each.type = EXOTIC) and (each.state = SAPLING))),length(trees where ((each.type = EXOTIC) and (each.state = POLE))),length(trees where ((each.type = EXOTIC) and (each.state = ADULT))),management_running_cost,ITP_running_earning,net_running_earning,m_partners_earning,m_independent_earning,investor_total_profit,total_investment_cost,total_investments,inv_harvested_trees,own_laborer,member_laborer,independent_laborer
10.0,349,15,1,1,15,50,0.3,90.12,98.7,79654,151204,24825,17320,28600,33329,4702,37023,58464451.97645035,73280498.48772609,14816046.511275746,59476.86198999998,0.0,13992779.977524402,16725591.00000001,100,1059,20,14,0
10.0,350,15,1,1,15,50,0.3,90.12,98.7,78745,149458,24968,17348,27846,32562,4612,37033,58621230.285010345,73280498.48772609,14659268.202715747,58709.12508999998,0.0,13992779.977524402,16725591.00000001,100,1059,16,14,0
10.0,351,15,1,1,15,50,0.3,90.12,98.7,77833,147696,25208,17372,6995,51843,4535,37045,58789821.38347535,73280498.48772609,14490677.104250744,80444.40666499999,0.0,13992779.977524402,16725591.00000001,100,1059,11,8,0
10.0,352,15,1,1,15,50,0.3,90.12,98.7,76976,146171,25317,17397,6796,50555,4469,37047,58882245.46657535,73280498.48772609,14398253.021150745,41251.23481499999,0.0,13992779.977524402,16725591.00000001,100,1059,20,7,0
10.0,353,15,1,1,15,50,0.3,90.12,98.7,86927,144702,25342,17417,6604,49362,4419,37045,59012411.13009035,73280498.48772609,14268087.357635744,41251.23481499999,0.0,13992779.977524402,16725591.00000001,100,1059,20,9,0
10.0,354,15,1,1,15,50,0.3,90.12,98.7,97480,143381,25220,17458,6386,48139,4371,37030,59148221.89397535,73280498.48772609,14132276.593750745,34315.808379999995,0.0,13992779.977524402,16725591.00000001,100,1059,13,10,0
10.0,355,15,1,1,15,50,0.3,90.12,98.7,107785,142037,25138,17481,6221,46959,4314,37028,59254678.095315345,73280498.48772609,14025820.392410748,46896.335184999996,0.0,13992779.977524402,16725591.00000001,100,1059,20,14,0
10.0,356,15,1,1,15,50,0.3,90.12,98.7,106574,140666,25090,17488,6036,45879,4266,37014,59422008.52104534,73280498.48772609,13858489.96668075,65835.470225,0.0,13992779.977524402,16725591.00000001,100,1059,16,14,0
10.0,357,15,1,1,15,50,0.3,90.12,98.7,104465,140233,25071,17528,5884,44777,4207,37005,59581528.747105345,73280498.48772609,13698969.740620747,62902.634024999985,0.0,13992779.977524402,16725591.00000001,100,1059,11,14,0
10.0,358,15,1,1,15,50,0.3,90.12,98.7,97405,144774,25077,17550,5717,43595,4267,36996,59724958.79196034,73280498.48772609,13555539.695765749,91573.34203499998,0.0,13992779.977524402,16725591.00000001,100,1059,20,8,0
10.0,359,15,1,1,15,50,0.3,90.12,98.7,91351,148291,25065,17575,5559,42493,4263,36999,59867704.982280344,73280498.48772609,13412793.505445749,45444.743749999994,0.0,13992779.977524402,16725591.00000001,100,1059,20,7,0
10.0,360,15,1,1,15,50,0.3,90.12,98.7,84359,152806,25054,17600,5398,41407,4259,36994,60023031.69940534,73280498.48772609,13257466.78832075,45444.743749999994,0.0,13992779.977524402,16725591.00000001,100,1059,13,9,0
10.0,361,15,1,1,15,50,0.3,90.12,98.7,80929,153780,25111,17634,35152,40423,4230,36981,60132219.07074534,73280498.48772609,13148279.41698075,42702.82625,0.0,13992779.977524402,16725591.00000001,100,1059,20,10,0
10.0,362,15,1,1,15,50,0.3,90.12,98.7,80043,152079,25263,17647,34122,39459,4174,36978,60284803.87037034,73280498.48772609,12995694.617355749,51089.844119999994,0.0,13992779.977524402,16725591.00000001,100,1059,16,14,0
10.0,363,15,1,1,15,50,0.3,90.12,98.7,79162,150329,25475,17670,28200,43534,4116,36963,60441582.17893034,73280498.48772609,12838916.30879575,63670.37092499998,0.0,13992779.977524402,16725591.00000001,100,1059,11,14,0
10.0,364,15,1,1,15,50,0.3,90.12,98.7,78233,148677,25621,17704,27403,42493,4054,36961,60562784.00637534,73280498.48772609,12717714.48135075,62902.63402499998,0.0,13992779.977524402,16725591.00000001,100,1059,20,14,0
10.0,365,15,1,1,15,50,0.3,90.12,98.7,88517,147139,25660,17721,26639,41495,3990,36954,60739762.12271034,73280498.48772609,12540736.365015753,82609.50596499999,0.0,13992779.977524402,16725591.00000001,100,1059,20,8,0
10.0,366,15,1,1,15,50,0.3,90.12,98.7,98579,145817,25553,17746,25905,40533,3926,36954,60886701.82196534,73280498.48772609,12393796.665760756,37057.72588,0.0,13992779.977524402,16725591.00000001,100,1059,13,7,0
10.0,367,15,1,1,15,50,0.3,90.12,98.7,109151,144438,25498,17763,25178,39567,3867,36954,60993158.023305334,73280498.48772609,12287340.464420758,38509.317315,0.0,13992779.977524402,16725591.00000001,100,1059,20,9,0
10.0,368,15,1,1,15,50,0.3,90.12,98.7,107871,143120,25434,17785,24476,38701,3807,36961,61135226.51042534,73936736.72727886,12801510.216853522,40674.416614999995,0.0,14555269.89714106,16725591.00000001,100,1059,17,10,0
10.0,369,15,1,1,15,50,0.3,90.12,98.7,105746,142567,25401,17810,23761,37760,3766,36926,61444783.07635611,77593787.60396658,16149004.527610466,49638.252684999985,0.0,17689884.93430196,16725591.00000001,100,1360,15,14,0
10.0,370,15,1,1,15,50,0.3,90.12,98.7,98244,147431,25384,17821,23100,36488,4166,36854,62518598.88981583,79233666.04232952,16715067.15251369,66412.28842499998,0.0,17689884.93430196,17227358.730000008,103,1400,16,14,0
10.0,371,15,1,1,15,50,0.3,90.12,98.7,91819,150653,25999,17872,22346,35204,4681,36860,62939633.823822655,83305106.60814705,20365472.7843244,62902.63402499998,0.0,17689884.93430196,19401685.560000014,116,1520,16,14,0
10.0,372,15,1,1,15,50,0.3,90.12,98.7,83958,153441,28505,18036,21429,33771,5440,36936,63449853.89307991,87030412.54182449,23580558.648744583,83932.32882999998,0.0,17689884.93430196,20070709.200000014,120,1538,8,8,0
10.0,373,15,1,1,15,50,0.3,90.12,98.7,80321,153890,29216,18094,28165,32826,5601,36922,64200194.736724615,89399949.69262569,25199754.95590107,37057.72588,0.0,19720916.77784585,20070709.200000014,120,1538,18,8,0
10.0,374,15,1,1,15,50,0.3,90.12,98.7,79408,152350,29307,18121,27333,32115,5527,36888,64881375.26752527,90807121.34459077,25925746.077065498,34764.85507090909,0.0,19720916.77784585,20237965.110000014,121,1538,4,7,0
10.0,375,15,1,1,15,50,0.3,90.12,98.7,78413,150623,29677,18162,6954,50934,5482,36884,65137764.23406625,92571493.45144364,27433729.217377394,18467.660633333333,0.0,20190376.913787115,20405221.020000014,122,1549,17,5,0
10.0,376,15,1,1,15,50,0.3,90.12,98.7,77458,148912,29894,18204,6748,49627,5464,36870,65546593.02576678,92571493.45144364,27024900.42567686,329576.81828197616,0.0,20190376.913787115,20405221.020000014,122,1549,13,13,0
10.0,377,15,1,1,15,50,0.3,90.12,98.7,87906,147388,29917,18237,6531,48364,5398,36857,65655402.347716786,95521784.38057736,29866382.03286057,37361.89979666666,0.0,20698828.96445075,20572476.930000015,123,1549,19,10,0
10.0,378,15,1,1,15,50,0.3,90.12,98.7,98159,145890,29989,18282,6326,47189,5408,36823,66327679.52092821,96663908.7805306,30336229.25960239,190168.11801777987,0.0,20698828.96445075,20739732.840000015,124,1575,20,13,0
10.0,379,15,1,1,15,50,0.3,90.12,98.7,108229,144431,30059,18339,6150,46013,5376,36809,66651581.16743556,99183267.52950062,32531686.362065062,54305.60558499998,0.0,20698828.96445075,20906988.750000015,125,1583,20,13,0
