seed,cycle,investor_percent_earning_share,investor_count,investment_rotation_years,nursery_count,police_count,member_count,exotic_price_per_bdft,native_price_per_bdft,Seedling,Sapling,Pole,Adult,Native,Seedling,Sapling,Pole,Adult,Exotic,Total,management_running_cost,ITP_running_earning,net_running_earning,m_partners_earning,average m_partners_earning,m_independent_earning,average m_independent_earning,own_laborer,member_laborer,independent_laborer,investor_total_profit,total_investment_cost,total net investor profit,average net investor profit,total_investments,inv_harvested_trees,with_investment,equally_profitable
10,220,0.3,50,15,1,1,30,90.12,98.7,66327,108557,25635,13109,213628,28612,42462,3342,38334,112750,326378,46288324.88,41141167.05,-5147157.831,21809785.38,4751.587228,0,0,3492,4590,0,11429637.75,8362795.5,3066842.248,61336.84496,50,759,TRUE,0
10,218,0.3,50,15,1,1,15,45.06,49.35,67405,109488,25164,13027,215084,34934,39532,3167,38235,115868,330952,37994174.49,27841873.54,-10152300.95,11933027.5,5183.765205,0,0,3463,2302,0,8284284.766,8362795.5,-78510.73377,-1570.214675,50,649,TRUE,0
10,215,0.3,50,15,1,1,15,90.12,98.7,76775,105230,25406,13029,220440,5253,42591,3114,38386,89344,309784,36394592.43,47119967.58,10725375.16,10848259.83,4795.870835,0,0,3412,2262,0,20660188.79,8362795.5,12297393.29,245947.8658,50,712,TRUE,1
10,157,0.3,50,10,3,3,30,45.06,49.35,61467,81817,32519,11206,187009,27122,30669,4826,37319,99936,286945,36874673.55,27247929.18,-9626744.371,16882120.85,5123.557161,0,0,2444,3295,0,9363298.088,5695648,3667650.088,73353.00176,50,341,TRUE,0
10,154,0.3,50,10,3,3,30,90.12,98.7,74848,73523,33046,11130,192547,21860,32718,4851,37559,96988,289535,34834250.65,42037733.21,7203482.555,16030662.79,4967.667428,0,0,2392,3227,0,11582147.91,5695648,5886499.912,117729.9982,50,428,TRUE,1
10,157,0.3,50,10,3,3,15,45.06,49.35,60887,81180,31820,11142,185029,27213,30126,4763,37594,99696,284725,28195499.53,24021836.36,-4173663.174,8944218.267,5355.819322,0,0,2447,1670,0,7584277.787,5695648,1888629.787,37772.59574,50,462,TRUE,0
10,159,0.3,50,10,3,3,15,90.12,98.7,59751,79643,31694,11199,182287,6512,48087,4665,37465,96729,279016,27038447.69,37286114.12,10247666.43,8322387.442,4944.971742,0,0,2474,1683,0,9729417.129,5695648,4033769.129,80675.38257,50,525,TRUE,1
10,157,0.3,50,10,3,1,30,45.06,49.35,61509,81941,32396,11196,187042,27127,30469,4686,37347,99629,286671,35277106.46,22595009.86,-12682096.6,16154341.31,4901.195787,0,0,2456,3296,0,5085076.74,5695648,-610571.2599,-12211.4252,50,469,TRUE,0
10,154,0.3,50,10,3,1,30,90.12,98.7,74506,73280,32758,11114,191658,21975,33227,4843,37655,97700,289358,34628629.44,39656611.44,5027981.999,16189588.85,4993.704148,0,0,2385,3242,0,10447655.59,5695648,4752007.591,95040.15182,50,475,TRUE,1
10,156,0.3,50,10,3,1,15,45.06,49.35,64036,80267,32122,11165,187590,20560,30745,4818,37308,93431,281021,28761564.79,24366930.73,-4394634.054,8468722.826,5025.948265,0,0,2421,1685,0,9171997.06,5695648,3476349.06,69526.98121,50,476,TRUE,0
10,155,0.3,50,10,3,1,15,90.12,98.7,69409,76043,32026,11162,188640,21439,31894,4706,37563,95602,284242,26704203.36,35311211.81,8607008.455,7937821.985,4767.460652,0,0,2400,1665,0,11244624.29,5695648,5548976.287,110979.5257,50,572,TRUE,1
10,161,0.3,50,10,1,3,30,45.06,49.35,66272,79201,31708,11221,188402,6182,45883,4642,37240,93947,282349,36882735.26,24609721.81,-12273013.45,18704919.66,5578.56238,0,0,2514,3353,0,8767882.931,5695648,3072234.931,61444.69861,50,431,TRUE,0
10,162,0.3,50,10,1,3,30,90.12,98.7,75411,78498,31639,11360,196908,6039,44687,4658,37185,92569,289477,37866397.68,46310350.04,8443952.362,18703971.79,5543.560104,0,0,2523,3374,0,19302296.27,5695648,13606648.27,272132.9654,50,381,TRUE,1
10,156,0.3,50,10,1,3,15,45.06,49.35,63932,80076,31719,11159,186886,20774,31266,4774,37401,94215,281101,28263681.2,22951451.22,-5312229.98,9300063.075,5705.560169,0,0,2434,1630,0,8862879.438,5695648,3167231.438,63344.62877,50,512,TRUE,0
