PLOT-Name,3PG-Mean_DBH,3PG-Basal_Area
plot714,33.0433,75.3185
plot715,35.1777,75.38
plot716,39.5817,75.8522
plot717,41.0136,75.6662
plot718,34.7671,75.2787
plot719,44.6014,76.9161
plot720,37.6097,75.2574
plot721,40.8923,76.5116
plot722,43.4813,76.5764
plot723,51.0794,76.6928
plot724,45.9034,76.9732
plot725,45.3994,76.5455
plot726,43.7147,76.6138
plot727,46.406,77.0883
plot728,35.7438,75.8842
plot729,42.2459,76.1388
plot730,36.3319,75.6508
plot731,44.5487,76.5764
plot732,47.4309,76.8211
plot733,48.0362,76.548
plot734,42.7631,76.657
plot735,37.0823,76.0248
plot736,38.1011,75.6291
plot737,45.6333,77.2523
plot738,36.1474,75.2783
plot739,46.627,76.8496
plot740,47.9366,76.7864
plot741,52.6875,77.4861
plot742,43.3919,76.5258
plot743,43.0415,76.079
plot744,33.8809,75.3273
plot745,46.9357,76.866
plot746,32.4221,75.0411
plot747,48.9888,76.9877
plot748,45.6994,76.7959
plot749,43.4077,75.8815
plot750,41.6168,76.7438
plot751,48.221,76.6822
plot752,46.8285,77.2309
plot753,39.0819,76.165
plot754,39.5016,76.0378
plot755,43.9669,76.5539
plot756,37.0615,75.1182
plot757,37.4094,75.4254
plot758,47.8603,77.3851
plot759,26.5483,75.2132
plot760,45.1832,76.0609
plot761,37.0925,75.4067
plot762,43.0295,76.1769
plot763,38.4779,75.8806
plot764,43.0852,76.1294
plot765,46.3828,76.4112
plot766,43.2201,76.128
plot767,46.7405,76.6863
plot768,58.6719,77.9235
plot769,52.7249,77.2203
plot770,44.5932,76.9658
plot771,40.6308,76.6835
plot772,36.1196,75.2563
plot773,40.6016,76.3396
plot774,46.6749,76.4489
plot775,42.8712,75.8359
plot776,41.7746,76.1497
plot777,36.2617,74.6551
plot778,35.637,75.4047
plot779,38.7875,76.2732
plot780,41.4295,75.7223
plot781,44.5487,76.8689
plot782,43.9558,75.9317
plot783,43.7187,76.9282
plot784,30.6243,74.2807
plot785,41.6386,76.1736
plot786,38.6258,75.4775
plot787,42.2321,76.5374
plot788,31.831,74.1586
plot789,19.7939,74.9933
plot790,45.5116,78.7568
plot791,40.1703,75.6905
plot792,41.5528,76.1163
plot793,48.0484,76.7824
plot794,46.8202,76.8339
plot795,46.8451,76.8383
plot796,43.462,76.4299
plot797,34.5668,74.7316
plot798,45.0992,76.66
plot799,38.7146,76.2512
plot800,42.8706,77.0509
plot801,48.5261,76.5565
plot802,42.8425,76.3373
plot803,39.5322,76.0964
plot804,44.7685,76.7934
plot805,36.9872,75.5343
plot806,41.5948,76.267
plot807,43.7126,76.1951
plot808,46.6416,76.9287
plot809,45.6758,76.4894
plot810,44.1952,76.1496
plot811,47.2189,77.0002
plot812,45.047,76.4405
plot813,34.1365,75.2758
plot814,31.5335,75.7963
plot815,39.5574,77.0562
plot816,43.4356,76.4833
plot817,43.7549,76.0347
plot818,44.8778,75.7236
plot819,45.7193,76.1729
plot820,40.5781,76.1147
plot821,35.5082,75.3587
plot822,43.1251,76.5915
plot823,45.2306,77.2155
plot824,45.5111,76.6232
plot825,40.9821,76.0574
