cycle,'EXOTIC',length(trees where ((each.type = EXOTIC) and (each.state = SEEDLING))),length(trees where ((each.type = EXOTIC) and (each.state = SAPLING))),length(trees where ((each.type = EXOTIC) and (each.state = POLE))),length(trees where ((each.type = EXOTIC) and (each.state = ADULT)))
339,EXOTIC,28326,42067,3462,35918
340,EXOTIC,27487,41092,3424,35894
341,EXOTIC,26697,40104,3387,35881
342,EXOTIC,25936,39178,3347,35871
343,EXOTIC,25190,38248,3307,35854
344,EXOTIC,24455,37333,3261,35834
345,EXOTIC,23743,36451,3229,35821
346,EXOTIC,23041,35155,3642,35816
347,EXOTIC,22384,34023,3899,35815
348,EXOTIC,21766,33026,4090,35801
349,EXOTIC,27525,32178,4102,35774
350,EXOTIC,26724,31490,4055,35760
351,EXOTIC,6006,50729,3998,35753
352,EXOTIC,5835,49480,3949,35736
353,EXOTIC,5675,48247,3905,35722
354,EXOTIC,5520,47086,3847,35710
355,EXOTIC,5372,45881,3794,35701
356,EXOTIC,5217,44740,3754,35685
357,EXOTIC,5078,43713,3711,35673
358,EXOTIC,4925,42523,3765,35658
359,EXOTIC,4793,41424,3791,35645
360,EXOTIC,4678,40348,3825,35633
361,EXOTIC,34410,39384,3779,35623
362,EXOTIC,33396,38439,3738,35614
363,EXOTIC,28168,41800,3697,35588
364,EXOTIC,27359,40769,3663,35576
365,EXOTIC,26541,39833,3630,35559
366,EXOTIC,25726,38921,3601,35539
367,EXOTIC,24993,38046,3565,35530
368,EXOTIC,24248,37126,3528,35520
369,EXOTIC,23584,36207,3505,35505
370,EXOTIC,22914,34900,3937,35494
371,EXOTIC,22291,33714,4182,35480
372,EXOTIC,21640,32702,4370,35460
373,EXOTIC,27272,31891,4350,35444
374,EXOTIC,26498,31147,4296,35432
375,EXOTIC,5916,50315,4256,35420
376,EXOTIC,5733,49128,4199,35403
377,EXOTIC,5569,47973,4157,35387
378,EXOTIC,5422,46749,4123,35378
379,EXOTIC,5263,45634,4083,35367
380,EXOTIC,5107,44552,4046,35351
381,EXOTIC,4950,43493,4006,35343
382,EXOTIC,4803,42387,4055,35332
383,EXOTIC,4663,41259,4085,35321
384,EXOTIC,4548,40267,4087,35310
385,EXOTIC,34108,39279,4053,35301
386,EXOTIC,33088,38361,4004,35292
387,EXOTIC,27917,41603,3965,35285
388,EXOTIC,27084,40606,3934,35271
389,EXOTIC,26301,39599,3898,35254
390,EXOTIC,25564,38648,3852,35247
391,EXOTIC,24847,37700,3813,35234
392,EXOTIC,24136,36783,3774,35224
393,EXOTIC,23446,35948,3738,35211
394,EXOTIC,22755,34624,4155,35196
395,EXOTIC,22110,33509,4415,35179
396,EXOTIC,21514,32423,4649,35173
397,EXOTIC,27093,31558,4651,35163
398,EXOTIC,26308,30826,4599,35152
399,EXOTIC,5862,49854,4552,35130
400,EXOTIC,5694,48557,4498,35116
401,EXOTIC,5531,47348,4451,35101
402,EXOTIC,5368,46276,4407,35085
403,EXOTIC,5211,45185,4351,35077
404,EXOTIC,5055,44061,4310,35065
405,EXOTIC,4898,43042,4267,35056
406,EXOTIC,4756,41887,4300,35046
407,EXOTIC,4615,40833,4319,35036
408,EXOTIC,4482,39780,4347,35029
409,EXOTIC,33891,38772,4324,35020
410,EXOTIC,32850,37839,4271,35007
411,EXOTIC,27819,41080,4216,34995
412,EXOTIC,26994,40114,4174,34983
413,EXOTIC,26198,39165,4134,34970
414,EXOTIC,25473,38259,4094,34963
415,EXOTIC,24743,37421,4060,34948
416,EXOTIC,24010,36532,4019,34936
417,EXOTIC,23285,35702,3973,34929
418,EXOTIC,22577,34437,4399,34916
419,EXOTIC,21959,33303,4661,34908
420,EXOTIC,21323,32375,4818,34898
421,EXOTIC,26822,31528,4815,34888
422,EXOTIC,26070,30760,4736,34878
423,EXOTIC,5741,49719,4681,34871
424,EXOTIC,5581,48474,4616,34860
425,EXOTIC,5417,47275,4576,34846
426,EXOTIC,5254,46088,4528,34838
427,EXOTIC,5127,44956,4470,34828
428,EXOTIC,4987,43829,4411,34822
429,EXOTIC,4838,42779,4361,34810
430,EXOTIC,4706,41636,4419,34800
431,EXOTIC,4571,40539,4442,34786
432,EXOTIC,4439,39515,4459,34773
433,EXOTIC,33750,38539,4415,34766
434,EXOTIC,32788,37607,4359,34759
435,EXOTIC,27767,40773,4305,34753
436,EXOTIC,26952,39841,4267,34743
437,EXOTIC,26185,38867,4217,34731
438,EXOTIC,25407,37996,4175,34719
439,EXOTIC,24674,37083,4120,34707
440,EXOTIC,23966,36207,4078,34696
441,EXOTIC,23211,35381,4035,34683
442,EXOTIC,22545,34127,4438,34681
443,EXOTIC,21875,33009,4703,34669
444,EXOTIC,21282,32004,4891,34661
445,EXOTIC,26690,31243,4868,34658
446,EXOTIC,25930,30534,4809,34646
447,EXOTIC,5658,49400,4761,34637
448,EXOTIC,5506,48206,4699,34626
449,EXOTIC,5326,47001,4642,34615
450,EXOTIC,5170,45871,4588,34609
451,EXOTIC,5019,44802,4546,34600
452,EXOTIC,4890,43723,4493,34586
453,EXOTIC,4746,42677,4441,34578
454,EXOTIC,4586,41546,4486,34573
455,EXOTIC,4445,40511,4503,34567
456,EXOTIC,4310,39537,4512,34557
457,EXOTIC,33546,38596,4473,34550
458,EXOTIC,32588,37701,4429,34543
459,EXOTIC,27675,40764,4382,34538
460,EXOTIC,26789,39737,4340,34525
461,EXOTIC,25969,38752,4289,34516
462,EXOTIC,25228,37828,4246,34504
463,EXOTIC,24477,36964,4191,34497
464,EXOTIC,23818,36137,4150,34491
465,EXOTIC,23158,35274,4100,34482
466,EXOTIC,22503,34025,4515,34475
467,EXOTIC,21872,32925,4765,34466
468,EXOTIC,21272,31930,4963,34459
469,EXOTIC,26643,31180,4954,34450
470,EXOTIC,25959,30480,4898,34441
471,EXOTIC,5617,49411,4851,34433
472,EXOTIC,5460,48168,4801,34426
473,EXOTIC,5310,46982,4741,34425
474,EXOTIC,5163,45851,4694,34413
475,EXOTIC,5018,44757,4642,34407
476,EXOTIC,4870,43666,4600,34399
477,EXOTIC,4735,42582,4554,34389
478,EXOTIC,4611,41454,4614,34381
479,EXOTIC,4473,40383,4634,34374
480,EXOTIC,4346,39339,4648,34364
481,EXOTIC,33485,38430,4599,34357
482,EXOTIC,32514,37517,4553,34347
483,EXOTIC,27600,40641,4501,34341
484,EXOTIC,26751,39676,4451,34332
485,EXOTIC,25988,38683,4408,34326
