cycle,'NATIVE',length(trees where ((each.type = NATIVE) and (each.state = SEEDLING))),length(trees where ((each.type = NATIVE) and (each.state = SAPLING))),length(trees where ((each.type = NATIVE) and (each.state = POLE))),length(trees where ((each.type = NATIVE) and (each.state = ADULT)))
488,NATIVE,109070,153705,25851,18153
489,NATIVE,106845,153153,25845,18172
490,NATIVE,99296,158025,25884,18174
491,NATIVE,92934,161631,25845,18217
492,NATIVE,85722,166185,25821,18252
493,NATIVE,82241,166854,25952,18263
494,NATIVE,81289,165072,26167,18270
495,NATIVE,80393,162999,26530,18297
496,NATIVE,79444,161282,26688,18288
497,NATIVE,89740,159639,26714,18316
498,NATIVE,100383,158180,26601,18328
499,NATIVE,110824,156636,26515,18378
500,NATIVE,109555,155150,26427,18389
501,NATIVE,107349,154571,26397,18428
502,NATIVE,99808,159317,26418,18422
503,NATIVE,93486,162939,26374,18456
504,NATIVE,86394,167348,26338,18489
505,NATIVE,82826,168140,26394,18532
506,NATIVE,81939,166217,26608,18570
507,NATIVE,81059,164233,27003,18574
508,NATIVE,80184,162423,27178,18601
509,NATIVE,90727,160737,27197,18638
510,NATIVE,101093,159171,27056,18669
511,NATIVE,111651,157641,26983,18688
512,NATIVE,110322,156166,26870,18736
513,NATIVE,108106,155630,26829,18759
514,NATIVE,100369,160506,26814,18788
515,NATIVE,93975,164113,26833,18783
516,NATIVE,86883,168485,26799,18794
517,NATIVE,83359,169116,26918,18793
518,NATIVE,82343,167307,27106,18801
519,NATIVE,81342,165299,27437,18807
520,NATIVE,80360,163531,27626,18826
521,NATIVE,90960,161872,27648,18841
522,NATIVE,101505,160339,27550,18841
523,NATIVE,111818,158792,27504,18853
524,NATIVE,110528,157303,27444,18870
525,NATIVE,108254,156704,27453,18871
526,NATIVE,100411,161678,27473,18880
527,NATIVE,94026,165322,27456,18883
528,NATIVE,86784,169820,27463,18892
529,NATIVE,83232,170471,27589,18900
530,NATIVE,82354,168541,27787,18922
531,NATIVE,81370,166565,28082,18936
532,NATIVE,80386,164784,28236,18947
533,NATIVE,91114,163134,28245,18964
534,NATIVE,101660,161725,28132,18970
535,NATIVE,112115,160189,28054,18989
536,NATIVE,110874,158640,27953,19008
537,NATIVE,108671,158064,27953,19013
538,NATIVE,100966,162855,27971,19031
539,NATIVE,94534,166553,27924,19058
540,NATIVE,87183,171196,27880,19072
541,NATIVE,83630,171898,28021,19090
542,NATIVE,82634,169926,28247,19106
543,NATIVE,81703,167903,28591,19131
544,NATIVE,80771,166000,28736,19149
545,NATIVE,91226,164256,28775,19179
546,NATIVE,102019,162690,28618,19203
547,NATIVE,112615,161203,28510,19233
548,NATIVE,111345,159732,28423,19267
549,NATIVE,109128,159127,28444,19271
550,NATIVE,101441,163965,28474,19275
551,NATIVE,95028,167530,28453,19307
552,NATIVE,87722,172064,28355,19342
553,NATIVE,84185,172672,28490,19353
554,NATIVE,83240,170674,28714,19352
555,NATIVE,82257,168548,29038,19380
556,NATIVE,81315,166714,29208,19381
557,NATIVE,91962,164988,29256,19416
558,NATIVE,102388,163436,29127,19418
559,NATIVE,113137,161918,29062,19412
560,NATIVE,111828,160369,29026,19419
561,NATIVE,109543,159773,28987,19437
562,NATIVE,101803,164718,29024,19437
563,NATIVE,95230,168465,28994,19447
564,NATIVE,88013,172820,28955,19464
565,NATIVE,84505,173454,29089,19477
566,NATIVE,83526,171575,29222,19493
567,NATIVE,82552,169569,29573,19486
568,NATIVE,81537,167746,29717,19508
569,NATIVE,92267,166036,29777,19522
570,NATIVE,102994,164549,29630,19537
571,NATIVE,113436,162963,29571,19538
572,NATIVE,112051,161439,29510,19532
573,NATIVE,109728,160864,29482,19543
574,NATIVE,101997,165734,29464,19573
