cycle,All labour current earning,All independent current earnig,cycle,Count of labour partners ,Count of independent harvesters,Count of caught harvesters
576,2406.429703,21414.01142,576,4,9,0
577,1234.8784,30291.46458,577,2,10,0
578,1234.8784,49639.72862,578,2,9,0
579,1852.3176,38919.64646,579,3,10,0
580,411.6261333,53919.93574,580,2,10,1
581,411.6261333,44614.24176,581,2,9,0
582,823.2522667,68815.1815,582,1,10,0
583,823.2522667,70518.25082,583,1,10,0
584,1234.8784,79709.86701,584,1,11,1
585,411.6261333,64699.01881,585,1,10,0
586,791.5887179,66789.48691,586,1,10,0
587,791.5887179,53294.0564,587,1,10,0
588,1614.840985,58880.37379,588,2,10,0
589,2232.280185,84720.0383,589,3,10,1
590,2643.906318,43535.86825,590,3,9,0
591,2058.130667,56207.58245,591,3,9,0
592,2469.7568,31687.32719,592,3,10,0
593,3087.196,31312.20285,593,4,10,0
594,1234.8784,52673.12386,594,4,10,0
595,1234.8784,77906.43122,595,3,10,1
596,2263.943733,28281.51185,596,4,9,0
597,1234.8784,38240.36467,597,3,9,0
598,1234.8784,57338.97694,598,3,9,0
599,2881.382933,45969.10779,599,5,9,0
600,3672.971651,33613.20593,600,5,9,0
